FechaHora,Fecha,Hora,Punto,Foto,Individuos,Clase,Especie,Observaciones,
23/04/2023 21:56:25,23/04/2023,21:56:25,QC11_3,IMG_0037,1,,Hhyd,,
23/04/2023 22:37:10,23/04/2023,22:37:10,QC01_1,IMG_0118,1,,Lwie,,
23/04/2023 23:04:43,23/04/2023,23:04:43,QC01_1,IMG_0121,1,,Dnov,,
23/05/2023 14:38:43,23/05/2023,14:38:43,QC01_1,IMG_0253,1,,Ave_sp,,
24/04/2023 9:10:04,24/04/2023,09:10:04,QC01_1,IMG_0130,1,,Ave_sp,,
25/04/2023 3:05:11,25/04/2023,03:05:11,QC01_1,IMG_0138,1,,Dnov,,
25/04/2023 9:54:52,25/04/2023,09:54:52,QC11_1,IMG_0001,3,,Ave_sp,,
25/05/2023 16:47:18,25/05/2023,16:47:18,QC01_2,IMG_0079,1,,Chir,,
25/05/2023 9:00:57,25/05/2023,09:00:57,QC11_3,IMG_0067,1,,Btau,,
26/04/2023 18:59:42,26/04/2023,18:59:42,QC01_3,IMG_0107,1,,Zorro_sp,,
26/05/2023 3:48:13,26/05/2023,03:48:13,QC01_1,IMG_0256,1,,Dnov,,
27/04/2023 12:04:42,27/04/2023,12:04:42,QC11_2,IMG_0025,1,,Btau,,
27/04/2023 14:19:09,27/04/2023,14:19:09,QC11_2,IMG_0061,1,,Btau,,
27/04/2023 8:16:33,27/04/2023,08:16:33,QC01_2,IMG_0019,2,,Chir,,
27/05/2023 11:50:12,27/05/2023,11:50:12,QC01_2,IMG_0082,2,,Chir,,
27/05/2023 23:12:41,27/05/2023,23:12:41,QC01_1,IMG_0259,1,,Ctho,,
28/04/2023 18:33:41,28/04/2023,18:33:41,QC01_1,IMG_0142,1,,Zorro_sp,,
29/04/2023 10:45:41,29/04/2023,10:45:41,QC11_2,IMG_0070,1,,Btau,,
3/06/2023 7:55:00,03/06/2023,07:55:00,QC11_2,IMG_0127,1,,Oari,,
30/04/2023 16:13:06,30/04/2023,16:13:06,QC11_2,IMG_0085,1,,Btau,,
30/05/2023 22:56:51,30/05/2023,22:56:51,QC01_1,IMG_0262,1,,Dnov,,
31/05/2023 11:14:28,31/05/2023,11:14:28,QC01_3,IMG_0148,2,,Pobs,,
31/05/2023 8:04:07,31/05/2023,08:04:07,QC01_3,IMG_0136,3,,Chir,,
5/06/2023 9:23:15,05/06/2023,09:23:15,QC01_2,IMG_0103,1,,Chir,,
6/05/2023 12:00:26,06/05/2023,12:00:26,QC01_1,IMG_0157,1,,Acaj,,
6/05/2023 2:58:13,06/05/2023,02:58:13,QC01_1,IMG_0154,1,,Zorro_sp,,
6/06/2023 15:23:00,06/06/2023,15:23:00,QC11_2,IMG_0130,1,,Btau,,
7/06/2023 16:51:22,07/06/2023,16:51:22,QC01_2,IMG_0106,1,,Chir,,
7/06/2023 17:33:04,07/06/2023,17:33:04,QC11_2,IMG_0163,2,,Btau,,
7/06/2023 9:26:08,07/06/2023,09:26:08,QC11_2,IMG_0148,1,,Btau,,
8/05/2023 14:47:23,08/05/2023,14:47:23,QC01_2,IMG_0067,1,,Chir,,
8/06/2023 8:54:01,08/06/2023,08:54:01,QC11_3,IMG_0109,1,,Btau,,
9/05/2023 17:35:58,09/05/2023,17:35:58,QC01_2,IMG_0073,1,,Chir,,
9/05/2023 19:07:15,09/05/2023,19:07:15,QC01_1,IMG_0166,1,,Zorro_sp,,
9/05/2023 23:55:19,09/05/2023,23:55:19,QC01_2,IMG_0076,1,,Chir,,
